Scenario,Modality,Model,fs_factor,duty,motion,network,Error,Coverage,Energy_mWh_day,Latency_p95_s
Baseline,ECG,large,1.0,1.0,high,edge+cloud,1.3367571477052378,0.9713749999999999,258.9450005437045,4.7429533408607885
Baseline,ECG,large,2.0,0.25,low,edge,1.1275951325113875,0.255625,89.0496370996243,3.467079443493262
Baseline,ECG,large,2.0,0.25,low,edge+cloud,1.0674864682470768,0.255625,92.74889843776505,5.247113524322022
Baseline,ECG,large,2.0,0.25,high,edge,1.291139353538946,0.24284374999999997,90.13959604278475,3.573979875948345
Baseline,ECG,large,2.0,0.25,high,edge+cloud,1.2349462722757878,0.24284374999999997,91.17726650209265,5.242958989724583
Baseline,ECG,large,2.0,0.5,low,edge,1.010117356458257,0.51125,178.694814768556,3.510301016812666
Baseline,ECG,large,2.0,0.5,low,edge+cloud,0.984181583841777,0.51125,182.64912835443744,4.989845936499641
Baseline,ECG,large,2.0,0.5,high,edge,1.1271766865614794,0.48568749999999994,179.9108312881203,3.678440287188832
Baseline,ECG,large,2.0,0.5,high,edge+cloud,1.1399823944809429,0.48568749999999994,181.27741882659737,5.035344695883908
Baseline,ECG,large,2.0,1.0,low,edge,0.8429265526936149,1.0,358.46825608603655,3.457854468392876
Baseline,ECG,large,2.0,1.0,low,edge+cloud,0.853547567680758,1.0,370.0323883985396,4.692903602351549
Baseline,ECG,large,2.0,1.0,high,edge,0.9560258400496633,0.9713749999999999,350.870871344228,3.425478259058296
Baseline,ECG,large,2.0,1.0,high,edge+cloud,0.9532778573397757,0.9713749999999999,366.61844627912467,4.7196892664021854
Baseline,EEG,tiny,0.5,0.25,low,edge,2.4532056608881108e-05,0.255625,38.26606427093676,4.211447083960408
Baseline,EEG,tiny,0.5,0.25,low,edge+cloud,2.2256141230687096e-05,0.255625,40.66295469739448,5.3678904979076805
Baseline,EEG,tiny,0.5,0.25,high,edge,2.548023797789775e-05,0.25051249999999997,38.838186579656515,4.228421637382146
Baseline,EEG,tiny,0.5,0.25,high,edge+cloud,2.3973556295056077e-05,0.25051249999999997,41.112698835921535,5.486936609278351
Baseline,EEG,tiny,0.5,0.5,low,edge,2.3206005817190118e-05,0.51125,77.95929996529986,4.085025941462036
Baseline,EEG,tiny,0.5,0.5,low,edge+cloud,2.026416491048523e-05,0.51125,80.52393476472707,5.445669439698687
Baseline,EEG,tiny,0.5,0.5,high,edge,2.3935773137028763e-05,0.5010249999999999,77.65159266616526,4.007129205289127
Baseline,EEG,tiny,0.5,0.5,high,edge+cloud,2.1666776332440762e-05,0.5010249999999999,80.85796190053192,5.401728069877685
Baseline,EEG,tiny,0.5,1.0,low,edge,1.9597790399520267e-05,1.0,154.52331000886977,3.9347938265888174
Baseline,EEG,tiny,0.5,1.0,low,edge+cloud,1.7602394858677793e-05,1.0,161.58228873145453,5.038260105991867
Baseline,EEG,tiny,0.5,1.0,high,edge,1.910902919981208e-05,1.0,154.377106492771,3.857596294740537
